shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1-4812-002-0083,39.310571,8.539796,2
1-4811-003-0083,39.310571,8.539796,1
1-4811-003-0083,39.294813,8.641988,2
1-4810-004-0083,39.294813,8.641988,1
1-4810-004-0083,39.310571,8.539796,2
1-4809-005-0083,39.310571,8.539796,1
1-4809-005-0083,39.294813,8.641988,2
1-4808-006-0083,39.294813,8.641988,1
1-4808-006-0083,39.310571,8.539796,2
1-4807-007-0083,39.310571,8.539796,1
1-4814-000-0083,39.294813,8.641988,1
1-4814-000-0083,39.310571,8.539796,2
1-4813-001-0083,39.310571,8.539796,1
1-4813-001-0083,39.294813,8.641988,2
1-4812-002-0083,39.294813,8.641988,1
1-4807-007-0083,39.294813,8.641988,2
1-4806-008-0083,39.294813,8.641988,1
1-4806-008-0083,39.310571,8.539796,2
1-4805-009-0083,39.310571,8.539796,1
1-4805-009-0083,39.294813,8.641988,2
1-4804-00A-0083,39.294813,8.641988,1
1-4804-00A-0083,39.310571,8.539796,2
1-4803-00B-0083,39.310571,8.539796,1
1-4803-00B-0083,39.294813,8.641988,2
1-4802-00C-0083,39.294813,8.641988,1
1-4802-00C-0083,39.310571,8.539796,2
1-4801-00D-0083,39.310571,8.539796,1
1-4801-00D-0083,39.294813,8.641988,2
1-4800-00E-0083,39.294813,8.641988,1
1-4800-00E-0083,39.310571,8.539796,2
1-4791-00F-0083,40.92238,9.49458,1
1-4791-00F-0083,40.857061,9.431094,2
1-4791-00F-0083,40.838383,9.404229,3
1-4791-00F-0083,40.829635,9.322818,4
1-4791-00F-0083,40.772052,9.181317,5
1-4791-00F-0083,40.713274,9.107759,6
1-4791-00F-0083,40.672022,9.046025,7
1-4791-00F-0083,40.627337,8.986503,8
1-4791-00F-0083,40.609504,8.933753,9
1-4791-00F-0083,40.601417,8.91562,10
1-4791-00F-0083,40.555956,8.875847,11
1-4791-00F-0083,40.482775,8.781622,12
1-4791-00F-0083,40.455878,8.72939,13
1-4791-00F-0083,40.417767,8.760714,14
1-4791-00F-0083,40.328581,8.783627,15
1-4791-00F-0083,40.267906,8.772281,16
1-4791-010-0083,40.924599,9.498301,1
1-4791-010-0083,40.92238,9.49458,2
1-4791-010-0083,40.857061,9.431094,3
1-4791-010-0083,40.838383,9.404229,4
1-4791-010-0083,40.829635,9.322818,5
1-4791-010-0083,40.772052,9.181317,6
1-4791-010-0083,40.713274,9.107759,7
1-4791-010-0083,40.672022,9.046025,8
1-4791-010-0083,40.627337,8.986503,9
1-4791-010-0083,40.609504,8.933753,10
1-4791-010-0083,40.601417,8.91562,11
1-4791-010-0083,40.555956,8.875847,12
1-4791-010-0083,40.482775,8.781622,13
1-4791-010-0083,40.455878,8.72939,14
1-4791-010-0083,40.417767,8.760714,15
1-4791-010-0083,40.328581,8.783627,16
1-4791-010-0083,40.267906,8.772281,17
1-4791-011-0083,40.92238,9.49458,1
1-4791-011-0083,40.857061,9.431094,2
1-4791-011-0083,40.838383,9.404229,3
1-4791-011-0083,40.829635,9.322818,4
1-4791-011-0083,40.772052,9.181317,5
1-4791-011-0083,40.713274,9.107759,6
1-4791-011-0083,40.672022,9.046025,7
1-4791-011-0083,40.627337,8.986503,8
1-4791-011-0083,40.609504,8.933753,9
1-4791-011-0083,40.601417,8.91562,10
1-4791-011-0083,40.555956,8.875847,11
1-4791-011-0083,40.482775,8.781622,12
1-4791-011-0083,40.455878,8.72939,13
1-4791-011-0083,40.417767,8.760714,14
1-4791-011-0083,40.328581,8.783627,15
1-4791-011-0083,40.267906,8.772281,16
1-4790-012-0083,40.267906,8.772281,1
1-4790-012-0083,40.328581,8.783627,2
1-4790-012-0083,40.417767,8.760714,3
1-4790-012-0083,40.455878,8.72939,4
1-4790-012-0083,40.482775,8.781622,5
1-4790-012-0083,40.555956,8.875847,6
1-4790-012-0083,40.601417,8.91562,7
1-4790-012-0083,40.609504,8.933753,8
1-4790-012-0083,40.627337,8.986503,9
1-4790-012-0083,40.672022,9.046025,10
1-4790-012-0083,40.713274,9.107759,11
1-4790-012-0083,40.772052,9.181317,12
1-4790-012-0083,40.829635,9.322818,13
1-4790-012-0083,40.838383,9.404229,14
1-4790-012-0083,40.857061,9.431094,15
1-4790-012-0083,40.92238,9.49458,16
1-4790-012-0083,40.924599,9.498301,17
1-4790-013-0083,40.267906,8.772281,1
1-4790-013-0083,40.328581,8.783627,2
1-4790-013-0083,40.417767,8.760714,3
1-4790-013-0083,40.455878,8.72939,4
1-4790-013-0083,40.482775,8.781622,5
1-4790-013-0083,40.555956,8.875847,6
1-4790-013-0083,40.601417,8.91562,7
1-4790-013-0083,40.609504,8.933753,8
1-4790-013-0083,40.627337,8.986503,9
1-4790-013-0083,40.672022,9.046025,10
1-4790-013-0083,40.713274,9.107759,11
1-4790-013-0083,40.772052,9.181317,12
1-4790-013-0083,40.829635,9.322818,13
1-4790-013-0083,40.838383,9.404229,14
1-4790-013-0083,40.857061,9.431094,15
1-4790-013-0083,40.92238,9.49458,16
1-4790-014-0083,40.267906,8.772281,1
1-4790-014-0083,40.328581,8.783627,2
1-4790-014-0083,40.417767,8.760714,3
1-4790-014-0083,40.455878,8.72939,4
1-4790-014-0083,40.482775,8.781622,5
1-4790-014-0083,40.555956,8.875847,6
1-4790-014-0083,40.601417,8.91562,7
1-4790-014-0083,40.609504,8.933753,8
1-4790-014-0083,40.627337,8.986503,9
1-4790-014-0083,40.672022,9.046025,10
1-4790-014-0083,40.713274,9.107759,11
1-4790-014-0083,40.772052,9.181317,12
1-4790-014-0083,40.829635,9.322818,13
1-4790-014-0083,40.838383,9.404229,14
1-4790-014-0083,40.857061,9.431094,15
1-4790-014-0083,40.92238,9.49458,16
1-4785-015-0083,39.163526,8.513212,1
1-4785-015-0083,39.169508,8.509185,2
1-4785-015-0083,39.2445,8.543349,3
1-4785-015-0083,39.269827,8.578944,4
1-4785-015-0083,39.294813,8.641988,5
1-4785-016-0083,39.163526,8.513212,1
1-4785-016-0083,39.169508,8.509185,2
1-4785-016-0083,39.2445,8.543349,3
1-4785-016-0083,39.269827,8.578944,4
1-4785-016-0083,39.294813,8.641988,5
1-4784-017-0083,39.294813,8.641988,1
1-4784-017-0083,39.269827,8.578944,2
1-4784-017-0083,39.2445,8.543349,3
1-4784-017-0083,39.169508,8.509185,4
1-4784-017-0083,39.163526,8.513212,5
1-4784-018-0083,39.294813,8.641988,1
1-4784-018-0083,39.269827,8.578944,2
1-4784-018-0083,39.2445,8.543349,3
1-4784-018-0083,39.169508,8.509185,4
1-4784-018-0083,39.163526,8.513212,5
1-4783-019-0083,39.163526,8.513212,1
1-4783-019-0083,39.169508,8.509185,2
1-4783-019-0083,39.2445,8.543349,3
1-4783-019-0083,39.269827,8.578944,4
1-4783-019-0083,39.294813,8.641988,5
1-4783-01A-0083,39.163526,8.513212,1
1-4783-01A-0083,39.169508,8.509185,2
1-4783-01A-0083,39.2445,8.543349,3
1-4783-01A-0083,39.269827,8.578944,4
1-4783-01A-0083,39.294813,8.641988,5
1-22055-01B-0083,39.546212,8.788027,1
1-22055-01B-0083,39.526147,8.850224,2
1-22055-01B-0083,39.48308,8.899043,3
1-22055-01B-0083,39.426129,8.916582,4
1-22055-01B-0083,39.381454,8.935909,5
1-22055-01B-0083,39.304598,8.965811,6
1-22055-01B-0083,39.291031,8.989286,7
1-22055-01B-0083,39.287611,8.997937,8
1-22055-01B-0083,39.281795,9.013726,9
1-22055-01B-0083,39.264201,9.045504,10
1-22055-01B-0083,39.257262,9.062786,11
1-22055-01B-0083,39.22779,9.096391,12
1-22055-01B-0083,39.216084,9.107992,13
1-22054-01C-0083,39.216084,9.107992,1
1-22054-01C-0083,39.22779,9.096391,2
1-22054-01C-0083,39.257262,9.062786,3
1-22054-01C-0083,39.264201,9.045504,4
1-22054-01C-0083,39.281795,9.013726,5
1-22054-01C-0083,39.287611,8.997937,6
1-22054-01C-0083,39.291031,8.989286,7
1-22054-01C-0083,39.304598,8.965811,8
1-22054-01C-0083,39.381454,8.935909,9
1-22054-01C-0083,39.426129,8.916582,10
1-22054-01C-0083,39.48308,8.899043,11
1-22054-01C-0083,39.526147,8.850224,12
1-22054-01C-0083,39.546212,8.788027,13
1-22053-01D-0083,39.546212,8.788027,1
1-22053-01D-0083,39.526147,8.850224,2
1-22053-01D-0083,39.48308,8.899043,3
1-22053-01D-0083,39.426129,8.916582,4
1-22053-01D-0083,39.381454,8.935909,5
1-22053-01D-0083,39.304598,8.965811,6
1-22053-01D-0083,39.291031,8.989286,7
1-22053-01D-0083,39.287611,8.997937,8
1-22053-01D-0083,39.281795,9.013726,9
1-22053-01D-0083,39.264201,9.045504,10
1-22053-01D-0083,39.257262,9.062786,11
1-22053-01D-0083,39.22779,9.096391,12
1-22053-01D-0083,39.216084,9.107992,13
1-22052-01E-0083,39.216084,9.107992,1
1-22052-01E-0083,39.22779,9.096391,2
1-22052-01E-0083,39.257262,9.062786,3
1-22052-01E-0083,39.264201,9.045504,4
1-22052-01E-0083,39.281795,9.013726,5
1-22052-01E-0083,39.287611,8.997937,6
1-22052-01E-0083,39.291031,8.989286,7
1-22052-01E-0083,39.304598,8.965811,8
1-22052-01E-0083,39.381454,8.935909,9
1-22052-01E-0083,39.426129,8.916582,10
1-22052-01E-0083,39.48308,8.899043,11
1-22052-01E-0083,39.526147,8.850224,12
1-22052-01E-0083,39.546212,8.788027,13
1-22051-01F-0083,39.546212,8.788027,1
1-22051-01F-0083,39.526147,8.850224,2
1-22051-01F-0083,39.48308,8.899043,3
1-22051-01F-0083,39.426129,8.916582,4
