route_id,service_id,trip_id,trip_headsign,trip_short_name,shape_id,wheelchair_accessible,bikes_allowed
10083,4814-000-0083-1,1-4814-000-0083,IGLESIAS,4814,1-4814-000-0083,1,1
10083,4813-001-0083-1,1-4813-001-0083,VILLAMASSARGIA DOMUSNOVAS,4813,1-4813-001-0083,1,1
10083,4812-002-0083-1,1-4812-002-0083,IGLESIAS,4812,1-4812-002-0083,1,1
10083,4811-003-0083-1,1-4811-003-0083,VILLAMASSARGIA DOMUSNOVAS,4811,1-4811-003-0083,1,1
10083,4810-004-0083-1,1-4810-004-0083,IGLESIAS,4810,1-4810-004-0083,1,1
10083,4809-005-0083-1,1-4809-005-0083,VILLAMASSARGIA DOMUSNOVAS,4809,1-4809-005-0083,1,1
10083,4808-006-0083-1,1-4808-006-0083,IGLESIAS,4808,1-4808-006-0083,1,1
10083,4807-007-0083-1,1-4807-007-0083,VILLAMASSARGIA DOMUSNOVAS,4807,1-4807-007-0083,1,1
10083,4806-008-0083-1,1-4806-008-0083,IGLESIAS,4806,1-4806-008-0083,1,1
10083,4805-009-0083-1,1-4805-009-0083,VILLAMASSARGIA DOMUSNOVAS,4805,1-4805-009-0083,1,1
10083,4804-00A-0083-1,1-4804-00A-0083,IGLESIAS,4804,1-4804-00A-0083,1,1
10083,4803-00B-0083-1,1-4803-00B-0083,VILLAMASSARGIA DOMUSNOVAS,4803,1-4803-00B-0083,1,1
10083,4802-00C-0083-1,1-4802-00C-0083,IGLESIAS,4802,1-4802-00C-0083,1,1
10083,4801-00D-0083-1,1-4801-00D-0083,VILLAMASSARGIA DOMUSNOVAS,4801,1-4801-00D-0083,1,1
10083,4800-00E-0083-1,1-4800-00E-0083,IGLESIAS,4800,1-4800-00E-0083,1,1
10083,4791-00F-0083-1,1-4791-00F-0083,MACOMER,4791,1-4791-00F-0083,1,1
10083,4791-010-0083-1,1-4791-010-0083,MACOMER,4791,1-4791-010-0083,1,1
10083,4791-011-0083-1,1-4791-011-0083,MACOMER,4791,1-4791-011-0083,1,1
10083,4790-012-0083-1,1-4790-012-0083,OLBIA,4790,1-4790-012-0083,1,1
10083,4790-013-0083-1,1-4790-013-0083,Olbia Terranova,4790,1-4790-013-0083,1,1
10083,4790-014-0083-1,1-4790-014-0083,Olbia Terranova,4790,1-4790-014-0083,1,1
10083,4785-015-0083-1,1-4785-015-0083,VILLAMASSARGIA DOMUSNOVAS,4785,1-4785-015-0083,1,1
10083,4785-016-0083-1,1-4785-016-0083,VILLAMASSARGIA DOMUSNOVAS,4785,1-4785-016-0083,1,1
10083,4784-017-0083-1,1-4784-017-0083,Carbonia Serbariu,4784,1-4784-017-0083,1,1
10083,4784-018-0083-1,1-4784-018-0083,Carbonia Serbariu,4784,1-4784-018-0083,1,1
10083,4783-019-0083-1,1-4783-019-0083,VILLAMASSARGIA DOMUSNOVAS,4783,1-4783-019-0083,1,1
